"","CJI1.A.CD1.ET1.1","CJI2.B.CD1.ET2.1","CJI3.I.K5PP3W.ET1.1","CJI4.J.K5PP3W.ET2.1","CJI5.K.K5PP3W.Rap1.1","CJI6.L.K5PP3W.Rap2.1"
"ENSMUSG00000048796",243,216,207,202,200,144
"ENSMUSG00000048799",1046,1087,827,842,990,1022
"ENSMUSG00000048807",157,150,249,231,180,114
"ENSMUSG00000048814",319,281,22,68,95,111
"ENSMUSG00000048826",102,78,253,173,232,125
"ENSMUSG00000048827",375,359,355,411,352,445
"ENSMUSG00000048832",481,465,468,498,405,341
"ENSMUSG00000048833",1726,1903,1734,1656,1818,1416
"ENSMUSG00000048852",14,8,318,16,5,9
"ENSMUSG00000048856",37,30,20,23,17,19
"ENSMUSG00000048865",19,15,27,15,16,12
"ENSMUSG00000048874",4828,4488,3564,3759,4972,4513
"ENSMUSG00000048878",2487,2530,1353,1566,2281,2714
"ENSMUSG00000048895",65,41,31,43,34,47
"ENSMUSG00000048897",433,367,555,509,379,290
"ENSMUSG00000048911",370,340,409,435,530,400
"ENSMUSG00000048915",984,1164,1367,726,953,1054
"ENSMUSG00000048916",155,145,16,18,28,27
"ENSMUSG00000048920",557,424,561,616,638,390
"ENSMUSG00000048921",107,89,80,87,87,64
"ENSMUSG00000048922",206,251,565,428,441,339
"ENSMUSG00000048924",425,373,348,438,253,280
"ENSMUSG00000048930",579,599,435,472,506,458
"ENSMUSG00000048949",123,145,135,140,119,83
"ENSMUSG00000048960",723,493,46,79,107,124
"ENSMUSG00000048965",52,53,49,52,44,34
"ENSMUSG00000048967",56,36,19,26,30,22
"ENSMUSG00000048970",400,325,369,378,335,312
"ENSMUSG00000048981",15,12,10,14,19,31
"ENSMUSG00000048988",71,69,207,181,19,21
"ENSMUSG00000048997",102,106,105,124,113,121
"ENSMUSG00000049001",13,9,13,7,46,22
"ENSMUSG00000049013",63,52,34,46,43,28
"ENSMUSG00000049038",56,49,59,56,37,40
"ENSMUSG00000049044",91,90,71,72,73,128
"ENSMUSG00000049047",391,388,244,370,318,325
"ENSMUSG00000049076",3268,3310,3484,3603,3699,3409
"ENSMUSG00000049086",394,248,624,582,280,248
"ENSMUSG00000049090",913,776,722,755,926,873
"ENSMUSG00000049091",506,715,579,505,369,422
"ENSMUSG00000049092",14,17,14,18,3,15
"ENSMUSG00000049100",43,50,28,8,57,82
"ENSMUSG00000049103",24,2,61,38,11,16
"ENSMUSG00000049106",1581,1412,1213,1353,1531,1400
"ENSMUSG00000049107",59,22,2,2,36,8
"ENSMUSG00000049115",2861,3324,1796,2468,2708,2156
"ENSMUSG00000049119",180,133,176,204,266,205
"ENSMUSG00000049124",79,100,173,136,137,143
"ENSMUSG00000049128",3,7,515,635,27,28
"ENSMUSG00000049130",27,38,29,10,10,12
"ENSMUSG00000049134",188,95,31,51,69,94
"ENSMUSG00000049164",1210,1195,929,967,1068,886
"ENSMUSG00000049176",9,4,196,101,166,69
"ENSMUSG00000049184",90,60,48,48,81,60
"ENSMUSG00000049191",144,113,34,47,97,101
"ENSMUSG00000049225",475,451,470,452,506,499
"ENSMUSG00000049230",24,32,55,36,44,37
"ENSMUSG00000049232",447,401,407,468,418,317
"ENSMUSG00000049241",13,13,14,16,22,8
"ENSMUSG00000049265",92,133,32,76,25,70
"ENSMUSG00000049285",32,43,39,35,27,16
"ENSMUSG00000049287",204,201,118,138,138,125
"ENSMUSG00000049288",182,128,210,182,125,117
"ENSMUSG00000049295",1937,1545,1101,1260,1557,1413
"ENSMUSG00000049299",243,209,385,414,292,220
"ENSMUSG00000049300",153,133,231,214,155,91
"ENSMUSG00000049303",70,90,247,206,172,118
"ENSMUSG00000049305",655,511,781,661,803,500
"ENSMUSG00000049307",129,87,229,257,184,104
"ENSMUSG00000049313",9740,9489,5839,6880,7041,7043
"ENSMUSG00000049321",196,126,105,126,157,121
"ENSMUSG00000049323",1507,1683,1325,1324,1509,1346
"ENSMUSG00000049327",1499,1583,2709,2260,2077,1835
"ENSMUSG00000049336",4910,3671,1531,1701,4890,5359
"ENSMUSG00000049339",956,828,923,910,936,734
"ENSMUSG00000049354",2334,2180,3205,2975,2836,2228
"ENSMUSG00000049357",23,32,6,11,15,14
"ENSMUSG00000049382",4964,4872,5869,6558,4066,4906
"ENSMUSG00000049396",533,521,493,505,458,702
"ENSMUSG00000049401",562,475,853,581,476,455
"ENSMUSG00000049409",42,32,46,64,57,48
"ENSMUSG00000049411",97,131,133,102,69,73
"ENSMUSG00000049421",1016,871,1206,1298,1177,811
"ENSMUSG00000049422",65,131,109,76,26,18
"ENSMUSG00000049436",372,377,1183,1587,373,332
"ENSMUSG00000049439",345,326,288,329,236,230
"ENSMUSG00000049470",11329,11965,9028,9646,9687,11776
"ENSMUSG00000049482",528,516,479,370,408,452
"ENSMUSG00000049488",421,459,308,291,350,346
"ENSMUSG00000049489",71,40,72,79,68,54
"ENSMUSG00000049493",71,92,143,174,44,51
"ENSMUSG00000049502",893,658,2764,1387,662,505
"ENSMUSG00000049504",1090,848,1047,1125,1003,973
"ENSMUSG00000049515",21,13,2,6,11,16
"ENSMUSG00000049516",3999,5481,2204,2730,3053,4016
"ENSMUSG00000049517",2614,2677,3401,2810,2978,3378
"ENSMUSG00000049521",420,432,823,845,476,559
"ENSMUSG00000049526",46,64,50,51,34,22
"ENSMUSG00000049532",334,267,179,228,294,214
"ENSMUSG00000049536",217,180,92,158,214,173
"ENSMUSG00000049539",56,109,728,453,162,184
"ENSMUSG00000049550",3316,3184,2956,3035,3331,3654
"ENSMUSG00000049551",23,18,11,14,56,24
"ENSMUSG00000049553",1025,1260,1771,1399,1166,1099
"ENSMUSG00000049555",29,45,20,20,18,19
"ENSMUSG00000049556",18,12,72,77,39,48
"ENSMUSG00000049562",205,203,147,159,196,163
"ENSMUSG00000049565",3,2,58,43,29,12
"ENSMUSG00000049571",48,53,9,22,28,44
"ENSMUSG00000049577",692,580,535,611,676,608
"ENSMUSG00000049580",473,364,727,555,975,702
"ENSMUSG00000049600",238,179,285,246,251,195
"ENSMUSG00000049604",2214,1842,851,1305,1760,1681
"ENSMUSG00000049606",4692,5071,3817,4176,5664,5647
"ENSMUSG00000049612",40,31,27,35,48,31
"ENSMUSG00000049624",511,461,313,346,388,346
"ENSMUSG00000049643",266,209,222,203,199,197
"ENSMUSG00000049649",62,59,11,23,30,62
"ENSMUSG00000049657",427,314,531,483,611,402
"ENSMUSG00000049658",2872,3487,2324,2288,2739,3134
"ENSMUSG00000049659",2236,2115,2153,2286,2171,1920
"ENSMUSG00000049670",125,151,44,47,54,44
"ENSMUSG00000049672",416,337,427,359,436,271
"ENSMUSG00000049676",58,29,13,27,14,27
"ENSMUSG00000049680",657,591,575,566,657,519
"ENSMUSG00000049686",172,150,128,130,156,140
"ENSMUSG00000049687",46,45,57,72,88,69
"ENSMUSG00000049690",133,179,201,243,189,134
"ENSMUSG00000049699",56,38,129,130,81,96
"ENSMUSG00000049709",503,460,943,1275,312,172
"ENSMUSG00000049717",142,120,220,146,234,152
"ENSMUSG00000049721",49,22,139,133,27,19
"ENSMUSG00000049723",25,8,12,15,20,27
"ENSMUSG00000049728",429,286,493,498,437,403
"ENSMUSG00000049734",197,184,251,162,149,118
"ENSMUSG00000049739",1569,1233,1364,1214,1565,1239
"ENSMUSG00000049751",1033,1038,1512,1293,1090,1105
"ENSMUSG00000049755",484,414,476,476,474,387
"ENSMUSG00000049760",283,302,391,414,334,317
"ENSMUSG00000049764",233,219,365,247,473,223
"ENSMUSG00000049775",9173,10178,9474,11302,10786,11850
"ENSMUSG00000049791",714,556,627,942,504,704
"ENSMUSG00000049792",519,461,565,447,501,423
"ENSMUSG00000049800",1993,2108,1594,1591,1964,2458
"ENSMUSG00000049804",166,137,120,169,94,171
"ENSMUSG00000049807",2539,1944,1071,1227,1479,2114
"ENSMUSG00000049811",706,500,253,341,508,543
"ENSMUSG00000049823",174,160,142,153,203,153
"ENSMUSG00000049832",36,22,18,19,18,30
"ENSMUSG00000049858",1271,1259,515,876,1246,1002
"ENSMUSG00000049866",2202,2081,2945,2905,2210,1936
"ENSMUSG00000049871",97,63,33,23,43,48
"ENSMUSG00000049878",1975,2155,1718,1701,1796,1856
"ENSMUSG00000049881",75,76,117,85,85,73
"ENSMUSG00000049882",103,77,108,122,85,57
"ENSMUSG00000049891",14,12,33,18,9,12
"ENSMUSG00000049892",895,1006,1404,1539,1243,1098
"ENSMUSG00000049904",43,25,68,67,58,40
"ENSMUSG00000049907",440,478,277,345,456,794
"ENSMUSG00000049922",249,146,455,338,225,137
"ENSMUSG00000049928",43,39,10,8,67,25
"ENSMUSG00000049929",20,12,10,4,22,12
"ENSMUSG00000049932",268,374,1206,820,522,402
"ENSMUSG00000049939",91,87,175,130,65,48
"ENSMUSG00000049940",1085,923,930,863,917,778
"ENSMUSG00000049950",62,72,116,88,62,46
"ENSMUSG00000049957",367,325,309,326,340,268
"ENSMUSG00000049960",145,152,211,174,164,123
"ENSMUSG00000049969",1216,1189,1398,1351,1481,1239
"ENSMUSG00000049971",34,129,143,138,5,9
"ENSMUSG00000049999",20,17,11,18,25,6
"ENSMUSG00000050002",237,179,226,218,155,112
"ENSMUSG00000050010",67,71,21,24,32,14
"ENSMUSG00000050017",1942,2002,2404,2008,2252,2198
"ENSMUSG00000050022",478,468,440,501,715,655
"ENSMUSG00000050029",941,815,992,934,994,891
"ENSMUSG00000050043",517,547,700,636,538,378
"ENSMUSG00000050050",179,166,127,73,147,83
"ENSMUSG00000050052",238,200,53,79,159,115
"ENSMUSG00000050064",405,409,153,195,267,192
"ENSMUSG00000050071",35,80,9,27,14,15
"ENSMUSG00000050074",177,100,5,6,28,8
"ENSMUSG00000050079",661,608,718,742,673,543
"ENSMUSG00000050088",967,856,984,1088,1136,951
"ENSMUSG00000050097",93,53,107,93,101,67
"ENSMUSG00000050103",537,529,405,436,463,412
"ENSMUSG00000050106",75,35,31,28,27,32
"ENSMUSG00000050107",13,11,107,52,36,19
"ENSMUSG00000050132",25,17,3,10,13,14
"ENSMUSG00000050144",848,755,661,687,937,739
"ENSMUSG00000050148",2997,2825,2277,2902,2851,2704
"ENSMUSG00000050150",26,29,2,4,11,25
"ENSMUSG00000050157",9,30,25,12,6,2
"ENSMUSG00000050174",130,132,63,75,100,99
"ENSMUSG00000050188",63,58,68,92,89,53
"ENSMUSG00000050192",146,124,167,137,144,189
"ENSMUSG00000050195",97,23,47,56,32,44
"ENSMUSG00000050199",8143,8123,10824,9911,9570,10209
"ENSMUSG00000050212",120,114,69,80,86,75
"ENSMUSG00000050213",322,271,357,328,286,240
"ENSMUSG00000050222",76,62,34,38,46,44
"ENSMUSG00000050229",1023,842,1047,969,1127,740
"ENSMUSG00000050234",53,22,7,11,6,8
"ENSMUSG00000050240",634,608,160,236,354,338
"ENSMUSG00000050244",1140,1231,2306,1581,1387,1281
"ENSMUSG00000050248",804,760,828,852,971,852
"ENSMUSG00000050270",145,122,47,47,62,79
"ENSMUSG00000050271",1060,797,4830,3698,2039,1858
"ENSMUSG00000050288",890,668,858,916,1336,1096
"ENSMUSG00000050295",1822,1670,1392,1416,2315,2181
"ENSMUSG00000050299",277,230,265,212,230,326
"ENSMUSG00000050304",37,21,10,16,20,21
"ENSMUSG00000050310",3541,3422,2124,2230,3052,3211
"ENSMUSG00000050312",452,483,549,497,410,348
"ENSMUSG00000050315",497,344,287,279,425,319
"ENSMUSG00000050323",103,82,98,91,89,98
"ENSMUSG00000050332",826,783,786,667,710,768
"ENSMUSG00000050335",115,113,1375,1365,87,91
"ENSMUSG00000050357",65,49,77,50,45,70
"ENSMUSG00000050359",175,1103,3675,4309,680,859
"ENSMUSG00000050368",222,230,250,297,329,373
"ENSMUSG00000050370",16,26,44,15,52,54
"ENSMUSG00000050373",304,226,172,206,205,198
"ENSMUSG00000050379",238,239,229,212,160,188
"ENSMUSG00000050382",126,124,120,132,120,105
"ENSMUSG00000050390",3062,2318,3128,3065,2795,2198
"ENSMUSG00000050394",67,48,44,61,81,48
"ENSMUSG00000050410",101,91,403,253,178,117
"ENSMUSG00000050428",400,349,298,289,375,297
"ENSMUSG00000050447",13,23,3,6,14,9
"ENSMUSG00000050463",24,30,90,81,7,15
"ENSMUSG00000050471",868,760,700,737,784,720
"ENSMUSG00000050503",212,215,167,182,224,203
"ENSMUSG00000050511",91,141,93,118,99,137
"ENSMUSG00000050520",1611,1607,355,525,587,348
"ENSMUSG00000050530",295,308,183,247,259,285
"ENSMUSG00000050538",25,15,7,7,5,22
"ENSMUSG00000050545",15,20,24,16,18,21
"ENSMUSG00000050549",408,311,387,341,472,399
"ENSMUSG00000050550",128,110,173,177,90,110
"ENSMUSG00000050552",167,178,194,219,196,168
"ENSMUSG00000050555",235,223,322,322,295,214
"ENSMUSG00000050556",68,36,2,3,11,12
"ENSMUSG00000050558",10,12,47,27,130,144
"ENSMUSG00000050565",3502,3401,4493,3922,3486,3180
"ENSMUSG00000050567",2081,2340,1212,1351,1576,1782
"ENSMUSG00000050592",100,86,109,105,96,54
"ENSMUSG00000050605",185,97,117,134,141,99
"ENSMUSG00000050608",695,729,1012,954,939,816
"ENSMUSG00000050619",754,597,751,618,777,663
"ENSMUSG00000050621",224,248,219,159,181,253
"ENSMUSG00000050623",52,45,24,27,43,24
"ENSMUSG00000050627",825,785,912,932,810,820
"ENSMUSG00000050628",530,537,493,449,491,451
"ENSMUSG00000050640",222,294,588,656,531,620
"ENSMUSG00000050666",34,17,3,2,10,8
"ENSMUSG00000050668",502,508,499,498,462,258
"ENSMUSG00000050671",186,215,7,12,23,35
"ENSMUSG00000050675",118,62,27,24,51,80
"ENSMUSG00000050677",20,27,14,18,9,6
"ENSMUSG00000050697",1812,1907,2039,2022,2179,1797
"ENSMUSG00000050705",166,150,207,215,173,134
"ENSMUSG00000050708",3718,3651,2971,3612,2922,2845
"ENSMUSG00000050714",207,136,194,204,205,153
"ENSMUSG00000050721",160,164,128,106,97,108
"ENSMUSG00000050730",1253,1144,1497,1696,1938,1589
"ENSMUSG00000050732",844,822,698,695,677,655
"ENSMUSG00000050737",3532,3052,2552,2733,3508,3146
"ENSMUSG00000050747",37,22,22,16,29,24
"ENSMUSG00000050777",60,39,26,46,46,25
"ENSMUSG00000050786",135,205,206,207,212,155
"ENSMUSG00000050796",205,219,328,284,242,176
"ENSMUSG00000050808",56,27,148,223,155,128
"ENSMUSG00000050812",4098,4009,4171,4203,4468,4458
"ENSMUSG00000050821",107,97,64,102,143,94
"ENSMUSG00000050822",27,30,24,23,10,22
"ENSMUSG00000050846",230,165,161,187,249,187
"ENSMUSG00000050854",49,54,43,24,15,24
"ENSMUSG00000050855",82,77,34,67,72,56
"ENSMUSG00000050856",364,377,616,505,402,407
"ENSMUSG00000050860",421,371,436,579,909,625
"ENSMUSG00000050890",394,311,528,438,466,342
"ENSMUSG00000050891",243,269,228,238,238,255
"ENSMUSG00000050900",4,13,10,14,2,8
"ENSMUSG00000050908",162,119,286,227,218,173
"ENSMUSG00000050910",108,106,95,101,119,86
"ENSMUSG00000050912",6290,7193,4958,5412,5004,5131
"ENSMUSG00000050914",29,20,36,36,18,44
"ENSMUSG00000050930",106,59,43,36,27,32
"ENSMUSG00000050931",963,1228,594,720,513,1082
"ENSMUSG00000050936",606,640,1956,1557,777,734
"ENSMUSG00000050944",29,30,12,15,26,31
"ENSMUSG00000050945",381,433,199,198,308,261
"ENSMUSG00000050947",537,408,157,197,318,205
"ENSMUSG00000050953",2726,2699,11687,7865,8022,6660
"ENSMUSG00000050954",344,252,242,289,302,165
"ENSMUSG00000050957",12,12,71,76,39,47
"ENSMUSG00000050965",541,815,802,879,438,527
"ENSMUSG00000050967",78,76,6,14,18,16
"ENSMUSG00000050973",183,146,182,121,135,124
"ENSMUSG00000050989",995,882,810,933,810,765
"ENSMUSG00000051000",584,540,861,728,530,509
"ENSMUSG00000051007",246,234,262,228,248,172
"ENSMUSG00000051008",49,44,34,30,20,19
"ENSMUSG00000051022",331,193,339,345,367,323
"ENSMUSG00000051034",200,85,125,114,114,104
"ENSMUSG00000051037",89,62,49,42,58,43
"ENSMUSG00000051043",1536,1244,717,779,1117,775
"ENSMUSG00000051048",21,23,302,190,13,31
"ENSMUSG00000051065",528,388,271,397,539,412
"ENSMUSG00000051067",31,11,5,6,10,24
"ENSMUSG00000051076",254,170,1298,975,993,1050
"ENSMUSG00000051098",298,304,222,248,285,268
"ENSMUSG00000051107",23,9,12,15,7,9
"ENSMUSG00000051113",26,16,17,18,14,18
"ENSMUSG00000051124",122,86,150,129,182,95
"ENSMUSG00000051147",65,63,115,87,73,78
"ENSMUSG00000051149",5319,5272,5284,5245,6187,5796
"ENSMUSG00000051154",562,525,1122,1018,774,639
"ENSMUSG00000051166",1318,1217,1064,1136,1293,1266
"ENSMUSG00000051169",119,80,44,71,80,83
"ENSMUSG00000051177",2025,2299,417,604,1959,2143
"ENSMUSG00000051184",91,72,69,72,74,59
"ENSMUSG00000051185",281,280,243,276,280,266
"ENSMUSG00000051212",20,8,19,12,9,5
"ENSMUSG00000051220",31,73,382,183,98,53
"ENSMUSG00000051223",4083,4325,6337,5027,4250,3988
"ENSMUSG00000051224",230,209,218,195,219,191
"ENSMUSG00000051225",3,3,18,14,11,3
"ENSMUSG00000051228",10,9,7,18,5,11
"ENSMUSG00000051232",133,115,228,191,193,147
"ENSMUSG00000051234",689,663,1002,798,898,708
"ENSMUSG00000051235",53,57,181,128,94,57
"ENSMUSG00000051236",1337,1088,786,779,933,1005
"ENSMUSG00000051238",151,128,197,183,168,125
"ENSMUSG00000051242",10,13,27,24,10,18
"ENSMUSG00000051246",25,25,14,31,28,24
"ENSMUSG00000051255",84,96,162,138,103,96
"ENSMUSG00000051256",189,173,306,281,250,203
"ENSMUSG00000051278",194,224,335,280,206,234
"ENSMUSG00000051285",3058,3231,2297,2444,3654,3195
"ENSMUSG00000051295",21,13,10,7,5,14
"ENSMUSG00000051306",1044,891,880,848,1219,1016
"ENSMUSG00000051316",1380,1090,413,555,727,559
"ENSMUSG00000051319",211,175,329,226,258,224
"ENSMUSG00000051323",359,265,246,329,818,891
"ENSMUSG00000051329",1071,1185,1453,1083,1220,1011
"ENSMUSG00000051331",112,71,32,27,44,40
"ENSMUSG00000051335",325,374,235,281,345,293
"ENSMUSG00000051339",5380,3970,3912,4558,4184,3497
"ENSMUSG00000051341",285,288,831,487,429,528
"ENSMUSG00000051343",772,696,557,510,536,559
"ENSMUSG00000051344",481,477,353,326,356,361
"ENSMUSG00000051346",114,109,125,145,102,56
"ENSMUSG00000051351",1916,1826,1902,1808,1738,1663
"ENSMUSG00000051355",925,773,671,720,894,922
"ENSMUSG00000051359",125,87,98,85,81,70
"ENSMUSG00000051367",945,609,1286,991,1537,852
"ENSMUSG00000051375",964,821,1176,1257,1112,861
"ENSMUSG00000051378",9,41,253,190,103,43
"ENSMUSG00000051379",468,494,580,912,645,877
"ENSMUSG00000051390",449,401,332,369,367,381
"ENSMUSG00000051391",1652,2045,3336,2739,2404,1804
"ENSMUSG00000051396",239,272,350,276,270,197
"ENSMUSG00000051397",1620,1163,4973,4800,2315,2599
"ENSMUSG00000051403",1570,1344,1350,1404,1431,1211
"ENSMUSG00000051412",448,511,863,751,597,527
"ENSMUSG00000051413",709,642,832,712,656,522
"ENSMUSG00000051427",354,272,188,261,320,275
"ENSMUSG00000051431",24,12,673,427,194,125
"ENSMUSG00000051435",29,27,7,12,8,28
"ENSMUSG00000051439",289,326,696,332,153,121
"ENSMUSG00000051444",137,106,83,112,78,53
"ENSMUSG00000051451",1051,1184,819,945,966,961
"ENSMUSG00000051455",14,7,9,11,11,12
"ENSMUSG00000051469",952,719,1026,943,1113,768
"ENSMUSG00000051483",632,545,695,697,646,534
"ENSMUSG00000051486",24,12,76,48,25,28
"ENSMUSG00000051495",4072,3835,3516,4452,5182,4910
"ENSMUSG00000051498",19,12,35,31,28,21
"ENSMUSG00000051499",21,12,31,24,16,14
"ENSMUSG00000051502",62,38,66,44,56,47
"ENSMUSG00000051506",20,6,16,24,9,5
"ENSMUSG00000051510",1423,1489,1173,1508,1369,1160
"ENSMUSG00000051517",62,48,68,65,42,85
"ENSMUSG00000051518",193,157,202,169,154,121
"ENSMUSG00000051550",204,140,145,198,203,159
"ENSMUSG00000051557",257,225,440,375,306,230
"ENSMUSG00000051579",1290,1194,1564,1706,1418,1511
"ENSMUSG00000051586",5419,5379,3167,3387,4546,5610
"ENSMUSG00000051615",415,502,884,759,818,566
"ENSMUSG00000051617",20,6,10,19,9,22
"ENSMUSG00000051627",2278,1381,2715,2445,1993,1715
"ENSMUSG00000051639",73,52,102,108,54,64
"ENSMUSG00000051650",2148,1960,1774,1763,2807,2961
"ENSMUSG00000051652",277,188,84,145,229,198
"ENSMUSG00000051671",106,81,143,129,125,63
"ENSMUSG00000051674",671,540,720,881,711,839
"ENSMUSG00000051675",786,581,651,839,991,733
"ENSMUSG00000051678",7,12,32,3,23,19
"ENSMUSG00000051695",2179,2140,3036,2728,2449,1890
"ENSMUSG00000051703",36,31,6,19,10,14
"ENSMUSG00000051705",166,147,142,163,183,105
"ENSMUSG00000051721",125,120,98,145,115,85
"ENSMUSG00000051727",25,21,70,68,56,35
"ENSMUSG00000051730",628,593,781,691,693,611
"ENSMUSG00000051735",15,25,17,14,16,8
"ENSMUSG00000051736",46,40,28,31,30,30
"ENSMUSG00000051747",122,191,54,87,84,86
"ENSMUSG00000051768",321,265,381,341,308,280
"ENSMUSG00000051786",966,880,991,953,994,759
"ENSMUSG00000051790",816,617,377,557,659,782
"ENSMUSG00000051811",58,87,14,23,30,31
"ENSMUSG00000051817",273,251,264,224,403,282
"ENSMUSG00000051844",38,11,34,64,49,25
"ENSMUSG00000051851",70,85,18,28,48,72
"ENSMUSG00000051853",3910,3477,4163,3988,4247,3271
"ENSMUSG00000051855",271,279,229,200,287,300
"ENSMUSG00000051864",592,586,478,485,589,605
"ENSMUSG00000051890",369,391,153,175,235,240
"ENSMUSG00000051910",2228,2392,1040,1235,2437,2638
"ENSMUSG00000051934",358,355,653,587,539,473
"ENSMUSG00000051950",498,417,401,361,490,394
"ENSMUSG00000051977",106,106,124,144,112,96
"ENSMUSG00000051978",202,209,213,203,282,232
"ENSMUSG00000051984",101,89,46,61,83,89
"ENSMUSG00000051989",199,166,226,198,232,195
"ENSMUSG00000052031",160,156,224,220,122,136
"ENSMUSG00000052033",227,252,434,371,364,349
"ENSMUSG00000052040",3025,3233,2621,2808,3119,2994
"ENSMUSG00000052056",1364,1142,1134,1228,1287,1293
"ENSMUSG00000052062",303,323,121,118,165,166
"ENSMUSG00000052085",1308,1212,840,951,1945,1265
"ENSMUSG00000052102",93,151,457,318,179,168
"ENSMUSG00000052105",1383,1076,354,646,1137,1083
"ENSMUSG00000052117",321,350,169,206,236,152
"ENSMUSG00000052125",4,11,14,12,8,8
"ENSMUSG00000052137",216,243,201,240,231,232
"ENSMUSG00000052139",723,856,1150,1051,900,721
"ENSMUSG00000052143",14,8,29,24,11,24
"ENSMUSG00000052144",1872,2140,1900,1840,2075,1951
"ENSMUSG00000052146",3924,3965,4624,4227,4249,4717
"ENSMUSG00000052151",436,341,786,706,484,435
"ENSMUSG00000052154",74,69,95,64,88,62
"ENSMUSG00000052155",2086,1752,1666,1575,2140,1856
"ENSMUSG00000052157",38,31,20,24,20,31
"ENSMUSG00000052160",34,21,37,39,17,18
"ENSMUSG00000052192",19,13,25,27,19,31
"ENSMUSG00000052214",911,1233,757,987,1074,894
"ENSMUSG00000052221",71,48,121,129,27,53
"ENSMUSG00000052229",51,41,3,8,15,15
"ENSMUSG00000052241",15,12,11,15,9,9
"ENSMUSG00000052248",29,12,7,4,6,11
"ENSMUSG00000052253",980,967,781,724,866,781
"ENSMUSG00000052271",284,321,37,75,58,48
"ENSMUSG00000052273",15,15,3,10,4,11
"ENSMUSG00000052291",97,119,148,157,131,94
"ENSMUSG00000052293",478,470,1125,965,665,675
"ENSMUSG00000052296",1756,1605,2129,2128,1896,1537
"ENSMUSG00000052298",1180,1164,1391,1379,1519,1370
"ENSMUSG00000052299",2069,2085,2209,1883,1956,1752
"ENSMUSG00000052301",158,165,127,154,148,150
"ENSMUSG00000052302",200,157,172,134,60,59
"ENSMUSG00000052310",1380,1357,2582,2045,1706,1426
"ENSMUSG00000052331",862,942,621,785,707,979
"ENSMUSG00000052336",26,13,33,26,18,19
"ENSMUSG00000052337",1901,1813,2762,2448,2015,1652
"ENSMUSG00000052353",249,325,129,178,149,217
"ENSMUSG00000052364",103,73,63,71,83,75
"ENSMUSG00000052369",372,380,290,321,307,243
"ENSMUSG00000052371",70,66,66,79,46,66
"ENSMUSG00000052387",385,326,457,1048,472,650
"ENSMUSG00000052395",323,286,379,292,286,275
"ENSMUSG00000052397",15094,17485,13920,14339,12472,14256
"ENSMUSG00000052406",387,331,320,304,250,255
"ENSMUSG00000052407",145,140,101,75,137,91
"ENSMUSG00000052414",1136,1013,824,950,1133,947
"ENSMUSG00000052415",374,300,91,125,209,246
"ENSMUSG00000052419",363,330,684,525,479,342
"ENSMUSG00000052423",542,483,594,632,538,483
"ENSMUSG00000052426",16,38,26,44,31,64
"ENSMUSG00000052428",892,811,891,808,842,737
"ENSMUSG00000052430",1242,1893,310,508,290,374
"ENSMUSG00000052446",256,267,311,236,184,152
"ENSMUSG00000052456",348,355,612,575,438,355
"ENSMUSG00000052459",2722,3166,2790,2680,2589,2656
"ENSMUSG00000052477",15,16,25,19,3,5
"ENSMUSG00000052488",1697,1512,1618,1438,1559,1412
"ENSMUSG00000052496",35,30,10,11,17,14
"ENSMUSG00000052504",542,520,41,259,267,480
"ENSMUSG00000052512",5615,4226,3717,3596,3459,4359
"ENSMUSG00000052516",1241,1153,233,473,639,810
"ENSMUSG00000052525",97,71,43,46,52,51
"ENSMUSG00000052533",1410,1375,2048,1724,1553,1120
"ENSMUSG00000052534",8690,8898,7378,7085,7163,8247
"ENSMUSG00000052539",2498,2793,2249,2455,2259,2323
"ENSMUSG00000052551",356,254,118,197,328,569
"ENSMUSG00000052557",951,1011,909,742,860,809
"ENSMUSG00000052560",1686,1681,1820,1696,1600,1820
"ENSMUSG00000052563",117,100,66,72,130,94
"ENSMUSG00000052565",1073,682,2434,1963,1110,823
"ENSMUSG00000052566",535,511,927,847,622,525
"ENSMUSG00000052572",9,20,22,35,17,40
"ENSMUSG00000052593",1335,1348,2179,2028,2013,1654
"ENSMUSG00000052605",30,34,20,18,30,22
"ENSMUSG00000052609",1847,1545,2520,2055,2082,1544
"ENSMUSG00000052616",42,50,21,16,18,12
"ENSMUSG00000052632",369,400,673,624,405,342
"ENSMUSG00000052656",1379,1521,835,928,1055,1172
"ENSMUSG00000052673",113,112,162,121,113,91
"ENSMUSG00000052675",113,73,40,69,64,50
"ENSMUSG00000052676",189,188,72,104,97,92
"ENSMUSG00000052681",3946,4212,3731,3923,3995,4696
"ENSMUSG00000052684",61780,44161,37911,45625,43952,43230
"ENSMUSG00000052688",391,355,661,664,335,579
"ENSMUSG00000052698",4346,3581,954,1142,1748,2057
"ENSMUSG00000052707",3331,2700,2312,2408,2477,2454
"ENSMUSG00000052712",572,544,698,706,602,525
"ENSMUSG00000052713",435,332,471,479,310,293
"ENSMUSG00000052724",20,18,33,31,14,19
"ENSMUSG00000052726",25,34,5,4,9,15
"ENSMUSG00000052727",5064,5348,8119,8054,9612,4750
"ENSMUSG00000052738",818,750,1120,1043,836,772
"ENSMUSG00000052748",991,848,480,518,708,623
"ENSMUSG00000052751",289,174,242,230,217,171
"ENSMUSG00000052752",1024,877,1369,1242,1167,1048
"ENSMUSG00000052763",731,470,336,374,476,467
"ENSMUSG00000052767",51,35,28,63,30,48
